Transaction_ID,Customer_ID,Customer_Name,Gender,Age,Email,Phone_Number,Product_Category,Product_Name,Quantity,Unit_Price,Sales_Amount,Payment_Method,Sales_Rep,Branch,Order_Date,Delivery_Date,Customer_City,Customer_Status,Remarks
TX1013,CUST516,Mary Johnson,Female,150,,,Electronics,Shirt,10,"5,000",50000, Cash ,Rep A,Abuja,12/05/2025,12/05/2025,Lagos,ACTIVE,***
TX1014,CUST607,James#9,Male,25,user@gmail.com,(080)12345678,Electroncs,Phone,1,2500,99999999,Crdit Card,Rep C,PH,12/05/2025,12/05/2025,Port Harcourt,ACTIVE,
TX1015,CUST719,Chinedu Okafor,Male,45,,2.34801E+12,Electronics,Laptop,2,$50,10000, Cash ,Rep A,Ikeja,12/05/2025,"May 12, 2025", Abuja ,Active,@@@
TX1016,CUST635, Aisha Bello ,Female,150,test@yahoo.com,2.34801E+12,Electroncs,Rice,-2,$50,-10000,CreditCard,Rep B,Abuja,"May 12, 2025",12/05/2025,LaGoS,ACTIVE,@@@
TX1017,CUST617,Mary Johnson,Female,25,,2.34801E+12,Groceries,TV,2,"5,000",99999999,Crdit Card,Rep C,PH,12/05/2025,12/05/2025,LaGoS,Actve,@@@
TX1018,CUST434,James Brown,Male,999,test@yahoo.com,234-801-234-5678,Electrnics,Shirt,2,"5,000",10000,Crdit Card,Rep C,Ikeja,12/05/2025,12-May-25, Abuja ,ACTIVE,***
TX1019,CUST690,James#9,Male,45,test@yahoo.com,8012345678,Groceries,Phone,10,NGN 5000,50000,Card,Rep B,Kano,12-May-25,12-May-25,lagos,ACTIVE,
TX1020,CUST199,Mary Johnson,,5,,,Electronic,TV,1,"5,000",99999999,CreditCard,Rep B,Kano,"May 12, 2025",12/05/2025, Abuja ,active,***
TX1021,CUST254,John Smith,Female,45,,234-801-234-5678,Electroncs,Rice,5,"5,000",25000,Transfer,Rep A,Kano,12-May-25,12-May-25,lagos,ACTIVE,***
TX1022,CUST808,Mary_45,Female,25,user@gmail.com,(080)12345678,Electrnics,Rice,5,$50,25000,CreditCard,,PH,12/05/2025,"May 12, 2025",Lagos,Actve,***
TX1023,CUST919,John123,Male,25,,8012345678,,Phone,-2,2500,-10000, Cash ,Rep B,Ikeja,12-May-25,"May 12, 2025",lagos,active,###
TX1024,CUST615,Chinedu Okafor,Male,5,test@yahoo.com,2.34801E+12,Electronics,Phone,1,NGN 5000,5000,Crdit Card,Rep C,Kano,"May 12, 2025",,LaGoS,Active,???
TX1025,CUST757,James Brown,Male,25,user@gmail.com,8012345678,Electroncs,Laptop,3,NGN 5000,15000,CreditCard,Rep C,Abuja,12/05/2025,12-May-25,Port Harcourt,active,###
TX1026,CUST164,Mary_45,Female,5,test@yahoo.com,,Electronic,Shirt,2,₦5000,-5000,CreditCard,Rep B,Kano,12-May-25,"May 12, 2025",LaGoS,Active,@@@
TX1027,CUST512,John123,,45,test@yahoo.com,(080)12345678,Electronics,TV,10,$50,-5000,CreditCard,,Ikeja,12-May-25,"May 12, 2025",LaGoS,Actve,***
TX1028,CUST934,Mary Johnson,Male,34,user@gmail.com,,Electrnics,Laptop,10,NGN 5000,99999999,CreditCard,,Kano,"May 12, 2025",,Kano,Acitve,???
TX1029,CUST334,James Brown,,5,test@yahoo.com,2.34801E+12,,Shirt,-2,2500,-10000, Cash ,Rep B,PH,"May 12, 2025",12/05/2025,Kano,Acitve,
TX1030,CUST942,Chinedu Okafor,Female,999,test@yahoo.com,2.34801E+12,Electrnics,TV,10,$50,-5000,Card,Rep A,Ikeja,12/05/2025,12/05/2025,lagos,Acitve,###
TX1031,CUST844,Chinedu Okafor,Male,25,test@yahoo.com,,,Rice,-2,₦5000,-5000,CreditCard,Rep B,Abuja,"May 12, 2025",12-May-25, Abuja ,active,***
TX1032,CUST262,Mary_45,,5,test@yahoo.com,(080)12345678,Electroncs,Laptop,3,2500,15000,Crdit Card,Rep A,Kano,12/05/2025,, Abuja ,Actve,
TX1033,CUST978,Mary Johnson,Female,25,user@gmail.com,8012345678,Groceries,Shirt,-2,$50,99999999,Transfer,Rep A,PH,12-May-25,"May 12, 2025",Kano,active,***
TX1034,CUST298,James Brown,Male,45,,,Groceries,TV,1,NGN 5000,-5000,Card,Rep A,Kano,12/05/2025,12/05/2025, Abuja ,active,???
TX1035,CUST913,James#9,Male,25,,(080)12345678,Fashion,Phone,-2,"5,000",-5000,Credit Card,,Abuja,12/05/2025,12/05/2025,LaGoS,active,@@@
TX1036,CUST629,Mary Johnson,Female,150,test@yahoo.com,2.34801E+12,Electronic,TV,10,NGN 5000,50000,Credit Card,Rep A,Abuja,12-May-25,12/05/2025,Port Harcourt,Active,
TX1037,CUST652,Mary Johnson,Female,999,,(080)12345678,,Laptop,10,₦5000,50000,CreditCard,Rep B,Abuja,"May 12, 2025","May 12, 2025",Lagos,active,???
TX1038,CUST897,Mary_45,Female,25,test@yahoo.com,234-801-234-5678,Electroncs,Shirt,1,NGN 5000,5000,CreditCard,Rep B,Kano,12-May-25,12-May-25,LAGOS,Active,###
TX1039,CUST636,Mary_45,,34,test@yahoo.com,,,Shirt,5,"5,000",-5000,Transfer,Rep C,Kano,12-May-25,12/05/2025,Lagos,Active,???
TX1040,CUST603, Aisha Bello ,Female,5,user@gmail.com,(080)12345678,Electronics,Rice,1,$50,99999999, Cash ,Rep C,Ikeja,12/05/2025,12/05/2025,Port Harcourt,active,@@@
TX1041,CUST123,Mary Johnson,,150,,234-801-234-5678,Electronic,Phone,10,"5,000",50000,Transfer,Rep A,Kano,"May 12, 2025","May 12, 2025",Port Harcourt,Actve,***
TX1042,CUST503,Mary Johnson,,5,test@yahoo.com,234-801-234-5678,Electronic,Phone,3,"5,000",15000,Crdit Card,,Abuja,"May 12, 2025",,Port Harcourt,Actve,
TX1043,CUST708,Mary Johnson,Male,150,,2.34801E+12,Electronics,Shirt,10,₦5000,-5000,Transfer,,PH,12/05/2025,,Kano,Acitve,###
TX1044,CUST367,Mary_45,Female,999,,(080)12345678,,TV,2,"5,000",-5000, Cash ,,Ikeja,12-May-25,12/05/2025,Port Harcourt,Actve,###
TX1045,CUST727,Mary_45,Male,34,user@gmail.com,,,Phone,-2,"5,000",99999999, Cash ,,Abuja,12/05/2025,12/05/2025,Lagos,Acitve,
TX1046,CUST903,Mary Johnson,Male,150,user@gmail.com,2.34801E+12,Electroncs,Rice,1,$50,5000,Credit Card,Rep B,PH,12/05/2025,12/05/2025,Kano,ACTIVE,***
TX1047,CUST211, Aisha Bello ,Female,25,,2.34801E+12,Electronic,Laptop,5,₦5000,25000,Credit Card,Rep A,Abuja,12-May-25,12/05/2025,lagos,ACTIVE,###
TX1048,CUST388,John123,Male,5,,,Electronic,Rice,1,₦5000,99999999,Transfer,Rep B,Abuja,12/05/2025,12-May-25,LaGoS,ACTIVE,
TX1049,CUST868,James#9,,999,user@gmail.com,234-801-234-5678,Groceries,Rice,3,"5,000",99999999,Transfer,,PH,"May 12, 2025","May 12, 2025",Port Harcourt,Actve,***
TX1000,CUST210,James#9,Female,45,test@yahoo.com,234-801-234-5678,Electronics,TV,-2,$50,-5000,Crdit Card,Rep A,Kano,12/05/2025,, Abuja ,Actve,
TX1051,CUST674,John123,Female,25,user@gmail.com,(080)12345678,Electroncs,Shirt,-2,₦5000,-10000,Crdit Card,Rep B,PH,12/05/2025,"May 12, 2025",Kano,ACTIVE,@@@
TX1052,CUST960,Chinedu Okafor,,45,test@yahoo.com,2.34801E+12,Electroncs,Rice,10,₦5000,50000,Card,Rep C,PH,12/05/2025,12/05/2025,LAGOS,Acitve,
TX1053,CUST108,John123,Male,999,user@gmail.com,234-801-234-5678,,Phone,-2,2500,-5000,Transfer,Rep C,PH,12/05/2025,,Lagos,ACTIVE,***
TX1054,CUST770,John123,Male,999,user@gmail.com,8012345678,Groceries,Shirt,2,2500,10000,CreditCard,Rep A,Ikeja,"May 12, 2025","May 12, 2025",lagos,Active,@@@
TX1055,CUST943,John Smith,Male,5,test@yahoo.com,234-801-234-5678,Electrnics,Shirt,-2,NGN 5000,99999999, Cash ,Rep A,Kano,12/05/2025,"May 12, 2025",Port Harcourt,Acitve,###
TX1056,CUST976, Aisha Bello ,,999,user@gmail.com,234-801-234-5678,Electrnics,TV,10,$50,99999999,Credit Card,Rep A,Kano,12/05/2025,12/05/2025,lagos,Active,
TX1057,CUST614, Aisha Bello ,,5,user@gmail.com,2.34801E+12,Electrnics,Rice,3,$50,99999999,Transfer,,Abuja,"May 12, 2025",, Abuja ,active,***
TX1058,CUST772,James#9,Female,150,,2.34801E+12,Electrnics,Phone,1,NGN 5000,99999999,Crdit Card,Rep C,Kano,12-May-25,,Lagos,ACTIVE,###
TX1059,CUST595,John Smith,Female,45,,,Electroncs,Rice,-2,"5,000",-10000,Transfer,Rep A,Kano,12-May-25,12/05/2025,Port Harcourt,Active,###
TX1060,CUST534,John Smith,Female,45,user@gmail.com,234-801-234-5678,,Shirt,3,2500,15000,CreditCard,,Abuja,12/05/2025,12/05/2025,LAGOS,Actve,###
TX1061,CUST509, Aisha Bello ,Female,150,test@yahoo.com,234-801-234-5678,Groceries,Rice,10,NGN 5000,-5000, Cash ,Rep C,Abuja,"May 12, 2025",12/05/2025,Port Harcourt,Acitve,???
TX1062,CUST912,Chinedu Okafor,,150,test@yahoo.com,,Electronic,Laptop,10,NGN 5000,-5000,Crdit Card,,PH,12/05/2025,12-May-25, Abuja ,active,???
TX1063,CUST402,John123,Female,34,test@yahoo.com,2.34801E+12,Groceries,Shirt,3,NGN 5000,99999999,Card,Rep C,PH,12/05/2025,"May 12, 2025",LaGoS,active,???
TX1064,CUST970, Aisha Bello ,Male,45,,2.34801E+12,Fashion,Rice,1,2500,5000,Transfer,Rep B,Kano,12/05/2025,,LaGoS,Acitve,
TX1065,CUST166,Chinedu Okafor,Male,999,user@gmail.com,2.34801E+12,Electronic,Rice,2,NGN 5000,10000,Transfer,Rep A,Kano,12/05/2025,12/05/2025,LaGoS,ACTIVE,***
TX1066,CUST635,James#9,Female,34,test@yahoo.com,234-801-234-5678,Electronics,TV,-2,"5,000",-10000,Transfer,Rep C,Kano,"May 12, 2025",12-May-25, Abuja ,ACTIVE,???
TX1067,CUST925, Aisha Bello ,Male,150,user@gmail.com,234-801-234-5678,,Laptop,3,$50,15000,Crdit Card,Rep B,Ikeja,"May 12, 2025",,Port Harcourt,Actve,@@@
TX1068,CUST847,James Brown,Female,150,user@gmail.com,234-801-234-5678,Electrnics,Shirt,3,NGN 5000,-5000,Transfer,Rep B,Kano,"May 12, 2025",12/05/2025,LAGOS,active,###
TX1069,CUST419,John123,Male,45,test@yahoo.com,8012345678,Electronic,TV,2,2500,10000,Card,Rep B,Abuja,12-May-25,"May 12, 2025",Port Harcourt,ACTIVE,###
TX1070,CUST455,John123,Male,25,,234-801-234-5678,Electroncs,Shirt,10,₦5000,99999999,Credit Card,Rep A,Abuja,12/05/2025,12-May-25, Abuja ,Active,###
TX1071,CUST435,John123,,150,,234-801-234-5678,Electrnics,TV,-2,₦5000,-5000,Crdit Card,Rep C,Kano,12/05/2025,12/05/2025,lagos,Acitve,@@@
TX1072,CUST788,James Brown,Female,999,,8012345678,Electrnics,Phone,10,2500,50000, Cash ,Rep B,Kano,12/05/2025,12/05/2025,LAGOS,Active,###
TX1073,CUST697,Mary_45,Female,25,,2.34801E+12,,Phone,5,₦5000,-5000,Card,Rep B,PH,"May 12, 2025","May 12, 2025", Abuja ,Acitve,@@@
TX1074,CUST482,John Smith,Female,25,,2.34801E+12,Groceries,Shirt,2,$50,99999999, Cash ,Rep A,Ikeja,12/05/2025,, Abuja ,Acitve,###
TX1075,CUST534,John Smith,Female,45,,(080)12345678,,TV,10,2500,50000,Credit Card,Rep A,Abuja,"May 12, 2025","May 12, 2025",LAGOS,Acitve,???
TX1076,CUST638,James#9,Female,5,,2.34801E+12,Groceries,Rice,3,NGN 5000,15000, Cash ,Rep B,Abuja,12/05/2025,12-May-25,LAGOS,Acitve,???
TX1077,CUST550,Mary_45,Male,45,test@yahoo.com,8012345678,Groceries,Phone,3,NGN 5000,99999999,CreditCard,Rep A,PH,12-May-25,"May 12, 2025",LAGOS,Acitve,@@@
TX1078,CUST814, Aisha Bello ,,5,,2.34801E+12,Groceries,Shirt,10,$50,-5000,CreditCard,Rep A,Ikeja,12-May-25,"May 12, 2025",LAGOS,active,***
TX1079,CUST874,Chinedu Okafor,,999,,234-801-234-5678,Fashion,TV,10,2500,-5000,Credit Card,Rep A,Kano,12/05/2025,,Lagos,Actve,
TX1080,CUST463,Mary_45,Female,45,,,Electronics,Laptop,1,NGN 5000,99999999,Card,Rep C,Kano,12/05/2025,, Abuja ,Active,***
TX1081,CUST951,Mary Johnson,Female,45,,2.34801E+12,Electrnics,Phone,-2,2500,-10000,CreditCard,,PH,12-May-25,12-May-25,LaGoS,ACTIVE,***
TX1082,CUST919, Aisha Bello ,Female,25,user@gmail.com,2.34801E+12,Electronic,Phone,1,₦5000,-5000,Credit Card,Rep C,Ikeja,"May 12, 2025",12/05/2025,LAGOS,ACTIVE,@@@
TX1083,CUST426,James#9,Female,34,test@yahoo.com,2.34801E+12,Electronics,Shirt,2,2500,-5000,Credit Card,Rep C,Abuja,12/05/2025,,Port Harcourt,Actve,
TX1084,CUST157,Chinedu Okafor,,34,,8012345678,Groceries,Phone,-2,NGN 5000,-5000,Transfer,Rep A,Ikeja,12-May-25,12/05/2025,LaGoS,Acitve,***
TX1085,CUST475,James Brown,Female,25,user@gmail.com,2.34801E+12,Groceries,Phone,5,₦5000,-5000,Transfer,Rep B,PH,"May 12, 2025",,Kano,Actve,???
TX1086,CUST182,James Brown,Male,25,user@gmail.com,(080)12345678,Electrnics,Rice,1,₦5000,99999999,Transfer,Rep C,Abuja,12/05/2025,12/05/2025,Kano,Actve,
TX1087,CUST185,John123,Male,45,test@yahoo.com,(080)12345678,Electronic,Rice,3,NGN 5000,-5000,CreditCard,Rep C,PH,"May 12, 2025",12/05/2025,Kano,Acitve,***
TX1088,CUST844,John123,,45,user@gmail.com,,Electroncs,Shirt,-2,₦5000,-10000,Card,Rep A,PH,"May 12, 2025",12/05/2025,Kano,Acitve,###
TX1089,CUST415,John Smith,,999,user@gmail.com,(080)12345678,Electroncs,Rice,-2,₦5000,-5000,Credit Card,Rep B,Ikeja,12/05/2025,"May 12, 2025",Kano,ACTIVE,###
TX1090,CUST653,John Smith,Female,5,test@yahoo.com,234-801-234-5678,Electronic,TV,2,NGN 5000,10000,CreditCard,Rep A,Kano,12/05/2025,12-May-25,Lagos,ACTIVE,???
TX1091,CUST746, Aisha Bello ,,34,,(080)12345678,,Rice,10,"5,000",-5000,Credit Card,Rep A,Kano,12-May-25,12/05/2025,lagos,Acitve,***
TX1092,CUST417,Mary Johnson,Male,150,test@yahoo.com,8012345678,Groceries,TV,5,₦5000,-5000,Credit Card,Rep C,Kano,12/05/2025,12-May-25,Port Harcourt,Acitve,@@@
TX1093,CUST166,James Brown,Male,45,user@gmail.com,2.34801E+12,Electroncs,Laptop,1,₦5000,-5000,CreditCard,Rep B,PH,"May 12, 2025",12-May-25, Abuja ,ACTIVE,???
TX1094,CUST768,John Smith,Male,45,test@yahoo.com,8012345678,Fashion,Shirt,3,NGN 5000,-5000,Transfer,Rep C,PH,12-May-25,12/05/2025,Port Harcourt,Acitve,***
TX1095,CUST186,John Smith,,150,,(080)12345678,,TV,10,"5,000",50000,Credit Card,Rep B,Kano,12/05/2025,,Port Harcourt,Active,@@@
TX1096,CUST235,Mary Johnson,Female,5,,,Electronics,Phone,1,"5,000",99999999,Transfer,Rep C,Ikeja,"May 12, 2025","May 12, 2025",lagos,ACTIVE,???
TX1097,CUST124,James#9,Male,34,,8012345678,Electronics,Rice,1,"5,000",99999999,Credit Card,Rep C,Ikeja,"May 12, 2025",,LaGoS,Active,???
TX1098,CUST422,James#9,,999,,2.34801E+12,Electronic,Phone,1,2500,-5000,Card,,Ikeja,12-May-25,12/05/2025,lagos,Acitve,@@@
TX1099,CUST485,Mary Johnson,Male,25,user@gmail.com,8012345678,Electronics,Shirt,3,"5,000",15000,Credit Card,Rep C,PH,12/05/2025,, Abuja ,Actve,???
TX1000,CUST216,Mary Johnson,Male,999,user@gmail.com,,Electronic,Shirt,3,₦5000,-5000,CreditCard,Rep A,PH,12/05/2025,,LAGOS,active,###
TX1101,CUST234,James Brown,Male,45,,8012345678,Electronics,Laptop,-2,NGN 5000,-5000,Credit Card,,Ikeja,12/05/2025,,LaGoS,active,###
TX1102,CUST438,Mary Johnson,,34,user@gmail.com,8012345678,,Laptop,5,"5,000",-5000,Crdit Card,,Kano,"May 12, 2025",,Port Harcourt,ACTIVE,
TX1103,CUST607,James Brown,,999,test@yahoo.com,,,TV,2,NGN 5000,-5000,Credit Card,Rep A,Ikeja,12/05/2025,,Kano,active,???
TX1104,CUST341,John123,Male,45,,,Fashion,Phone,5,₦5000,-5000,Card,Rep C,Kano,12/05/2025,12/05/2025,lagos,active,###
TX1105,CUST553,Chinedu Okafor,Male,34,test@yahoo.com,,Fashion,Phone,1,NGN 5000,5000, Cash ,Rep B,Kano,12/05/2025,12-May-25,LAGOS,Actve,@@@
TX1106,CUST105,John123,,150,user@gmail.com,,Electronic,Shirt,5,2500,-5000, Cash ,Rep A,Kano,12-May-25,12-May-25,LAGOS,Active,???
TX1107,CUST107,Chinedu Okafor,Female,45,user@gmail.com,,Electronic,Rice,-2,₦5000,-10000,Credit Card,Rep B,Kano,12/05/2025,,Kano,Acitve,@@@
TX1108,CUST131,Mary_45,,25,test@yahoo.com,2.34801E+12,Electronic,Phone,-2,2500,99999999, Cash ,Rep B,Kano,12/05/2025,12-May-25,Kano,Acitve,***
TX1109,CUST748,Chinedu Okafor,Female,34,test@yahoo.com,(080)12345678,Electroncs,Shirt,10,₦5000,50000,Crdit Card,,Abuja,12/05/2025,"May 12, 2025",Port Harcourt,ACTIVE,@@@
TX1110,CUST671,John123,Male,45,,2.34801E+12,Fashion,Shirt,-2,NGN 5000,99999999,CreditCard,Rep C,Abuja,"May 12, 2025",12/05/2025, Abuja ,ACTIVE,@@@
TX1111,CUST561,Mary Johnson,,25,test@yahoo.com,,Electrnics,Shirt,-2,"5,000",-10000,Credit Card,,Ikeja,12/05/2025,12/05/2025,LAGOS,Acitve,???
TX1112,CUST318, Aisha Bello ,,150,,8012345678,Fashion,Phone,10,₦5000,50000, Cash ,Rep C,PH,"May 12, 2025",12/05/2025,Lagos,active,
TX1113,CUST806, Aisha Bello ,Male,5,user@gmail.com,8012345678,Groceries,Laptop,10,NGN 5000,50000,Credit Card,Rep C,Kano,12/05/2025,"May 12, 2025", Abuja ,ACTIVE,###
TX1114,CUST815,Mary_45,Female,34,,(080)12345678,Groceries,Shirt,1,NGN 5000,-5000,CreditCard,Rep A,Kano,12/05/2025,"May 12, 2025",lagos,Active,###
TX1115,CUST314,James Brown,Male,150,user@gmail.com,(080)12345678,Electrnics,Rice,5,$50,99999999,CreditCard,Rep A,PH,"May 12, 2025",,LaGoS,Actve,###
TX1116,CUST830,John123,,999,test@yahoo.com,2.34801E+12,Electroncs,Phone,5,2500,-5000,Crdit Card,Rep B,PH,12-May-25,,Kano,Active,***
TX1117,CUST520,Mary_45,Female,999,,,Electronic,TV,1,"5,000",-5000,Credit Card,,Abuja,"May 12, 2025","May 12, 2025",LAGOS,active,???
TX1118,CUST181,James#9,,45,,8012345678,Electronic,Laptop,3,2500,15000,Card,Rep A,Abuja,12/05/2025,"May 12, 2025",LaGoS,Actve,***
TX1119,CUST737,Chinedu Okafor,Male,45,,234-801-234-5678,Electronics,Shirt,-2,NGN 5000,-5000,Transfer,Rep C,PH,12/05/2025,12/05/2025,LAGOS,Actve,***
TX1120,CUST699,James#9,Female,150,user@gmail.com,234-801-234-5678,Groceries,Laptop,-2,2500,-5000,Card,Rep A,Ikeja,"May 12, 2025",,LAGOS,ACTIVE,@@@
TX1121,CUST650,Chinedu Okafor,Female,45,,,Electroncs,Phone,5,NGN 5000,25000,Transfer,Rep C,Kano,12/05/2025,, Abuja ,Active,***
TX1122,CUST626,Mary_45,,45,,,Fashion,Shirt,2,2500,-5000,CreditCard,Rep B,PH,"May 12, 2025","May 12, 2025",Port Harcourt,active,###
TX1123,CUST220,Chinedu Okafor,Female,34,,8012345678,Electroncs,Rice,-2,₦5000,99999999, Cash ,,Kano,12-May-25,12-May-25,LaGoS,Acitve,###
TX1124,CUST278, Aisha Bello ,Male,45,test@yahoo.com,2.34801E+12,Electronic,Laptop,5,₦5000,-5000,Crdit Card,Rep B,Abuja,"May 12, 2025",12-May-25, Abuja ,ACTIVE,###
TX1125,CUST287,James#9,Male,150,user@gmail.com,(080)12345678,Electronic,Shirt,5,2500,99999999,Crdit Card,Rep C,Kano,"May 12, 2025",12-May-25,LAGOS,Actve,???
TX1126,CUST617,Mary Johnson,,25,test@yahoo.com,8012345678,Electrnics,Phone,2,NGN 5000,-5000,Crdit Card,,Ikeja,"May 12, 2025",12-May-25,lagos,active,???
TX1127,CUST498,John Smith,,150,test@yahoo.com,,Fashion,Shirt,-2,2500,99999999,Card,,PH,12/05/2025,"May 12, 2025",LAGOS,ACTIVE,@@@
TX1128,CUST312,John Smith,,150,test@yahoo.com,2.34801E+12,Fashion,Rice,10,NGN 5000,99999999, Cash ,Rep C,Ikeja,"May 12, 2025",12/05/2025,Port Harcourt,Acitve,***
TX1129,CUST866,John Smith,Male,45,,234-801-234-5678,Electrnics,Shirt,2,2500,-5000,CreditCard,,Kano,12/05/2025,12/05/2025,Port Harcourt,active,***
TX1130,CUST974,Mary Johnson,Male,45,user@gmail.com,,Electronics,Rice,2,$50,10000,Transfer,,PH,12/05/2025,"May 12, 2025",Kano,ACTIVE,???
TX1131,CUST247,Mary Johnson,,150,user@gmail.com,2.34801E+12,Fashion,Rice,10,2500,99999999,Transfer,Rep C,Abuja,"May 12, 2025",12/05/2025, Abuja ,Acitve,
TX1132,CUST931,Mary Johnson,,150,user@gmail.com,234-801-234-5678,Groceries,Phone,-2,"5,000",99999999,Card,Rep C,Kano,12-May-25,12/05/2025,LaGoS,Actve,???
TX1133,CUST447,James Brown,Male,5,,2.34801E+12,Electroncs,Rice,-2,₦5000,-5000,Transfer,Rep A,Kano,12/05/2025,12-May-25,LaGoS,Active,###
TX1134,CUST103,John123,Female,5,,2.34801E+12,,Rice,1,2500,-5000,CreditCard,Rep C,PH,"May 12, 2025",,Port Harcourt,Actve,###
TX1135,CUST147,Mary Johnson,Female,25,user@gmail.com,8012345678,,Phone,5,₦5000,99999999,Crdit Card,,Abuja,12-May-25,"May 12, 2025",Port Harcourt,Actve,???
TX1136,CUST234,Mary Johnson,Female,45,test@yahoo.com,(080)12345678,Electrnics,Shirt,1,$50,99999999,Transfer,Rep A,Abuja,12/05/2025,, Abuja ,ACTIVE,***
TX1137,CUST812,John Smith,,25,test@yahoo.com,(080)12345678,,Phone,5,$50,25000,Transfer,Rep A,Ikeja,12/05/2025,12/05/2025,Kano,ACTIVE,***
TX1138,CUST543,John Smith,Female,45,test@yahoo.com,8012345678,Electronics,Shirt,3,NGN 5000,-5000,Crdit Card,,Kano,12-May-25,12-May-25,Kano,active,@@@
TX1139,CUST912,Mary_45,,34,test@yahoo.com,8012345678,Electrnics,Laptop,5,2500,-5000,Crdit Card,Rep C,Ikeja,12-May-25,12-May-25,LaGoS,ACTIVE,***
TX1140,CUST970,James#9,,5,,(080)12345678,Groceries,Phone,5,2500,99999999,Credit Card,Rep B,Abuja,12-May-25,,LAGOS,Acitve,
TX1141,CUST428,Chinedu Okafor,,25,,(080)12345678,Groceries,Phone,10,NGN 5000,99999999,Card,Rep B,Kano,12/05/2025,12-May-25,Kano,Active,@@@
TX1142,CUST487,Mary_45,,5,test@yahoo.com,(080)12345678,Groceries,Shirt,3,$50,15000,Transfer,Rep A,Abuja,12/05/2025,12-May-25,Kano,ACTIVE,@@@
TX1143,CUST450,Chinedu Okafor,,45,,8012345678,,TV,10,$50,50000,Crdit Card,Rep C,PH,12/05/2025,12/05/2025,Kano,Active,@@@
TX1144,CUST828,John123,,25,,234-801-234-5678,,TV,-2,₦5000,-5000,Transfer,Rep C,Kano,12-May-25,12/05/2025,lagos,Actve,???
TX1145,CUST668,James Brown,Male,25,user@gmail.com,8012345678,Fashion,Rice,3,NGN 5000,15000,Crdit Card,Rep B,PH,"May 12, 2025",12-May-25,LAGOS,ACTIVE,???
TX1146,CUST364, Aisha Bello ,Female,5,test@yahoo.com,,Electronics,Laptop,10,"5,000",50000,CreditCard,Rep A,Abuja,12/05/2025,12/05/2025,lagos,Acitve,###
TX1147,CUST341,John123,,5,,,Electronics,Rice,10,₦5000,50000,Crdit Card,,PH,"May 12, 2025",12-May-25,lagos,Acitve,
TX1148,CUST695,James Brown,Female,34,user@gmail.com,,Electronics,Rice,5,NGN 5000,99999999,Crdit Card,Rep A,Abuja,12/05/2025,12-May-25,LAGOS,ACTIVE,
TX1149,CUST161,James#9,Female,45,test@yahoo.com,234-801-234-5678,Electrnics,Phone,3,₦5000,15000, Cash ,Rep C,Ikeja,12/05/2025,12/05/2025,Port Harcourt,Acitve,???
